iter	Passed	Remaining
0	706	7062899
1	1313	6568337
2	1855	6182478
3	2482	6203318
4	3038	6073243
5	3697	6158182
6	4266	6090084
7	4802	5997912
8	5398	5992558
9	5912	5906774
10	6483	5887828
11	6969	5801207
12	7597	5836886
13	8292	5915087
14	8882	5912651
15	9539	5952350
16	9980	5860739
17	10643	5902605
18	11182	5874135
19	11795	5885764
20	12409	5896768
21	12883	5843378
22	13516	5863297
23	13977	5810032
24	14654	5847144
25	15268	5857306
26	15815	5841763
27	16382	5834466
28	16923	5818632
29	17582	5843318
30	18206	5854883
31	18772	5847564
32	19354	5845768
33	19910	5836155
34	20558	5853264
35	21097	5839380
36	21748	5856295
37	22451	5885738
38	23163	5916142
39	23954	5964559
40	24764	6015265
41	25478	6040801
42	26122	6048844
43	26863	6078489
44	27487	6080755
45	28125	6086178
46	28720	6082079
47	29286	6072028
48	29836	6059318
49	30356	6040975
50	30845	6017269
51	31463	6019287
52	31969	6000029
53	32594	6003384
54	33064	5978627
55	33666	5978134
56	34190	5964065
57	34779	5961608
58	35424	5968752
59	35887	5945399
60	36580	5960160
61	37014	5933086
62	37660	5940173
63	38312	5947951
64	38865	5940417
65	39561	5954665
66	39965	5924987
67	40553	5923217
68	41010	5902581
69	41702	5915851
70	42142	5893469
71	42740	5893482
72	43329	5892176
73	43790	5873884
74	44355	5869666
75	44925	5866272
76	45565	5872074
77	46127	5867600
78	46710	5865972
79	47374	5874493
80	48035	5882325
81	48669	5886672
82	49229	5882094
83	49789	5877517
84	50470	5887291
85	50944	5872861
86	51666	5886962
87	52296	5890479
88	52839	5884146
89	53476	5888403
90	54013	5881493
91	54612	5881502
92	55156	5875697
93	55731	5873196
94	56371	5877475
95	56887	5868893
96	57546	5875105
97	58252	5885829
98	58835	5884113
99	59523	5892829
100	60050	5885549
101	60748	5894954
102	61364	5896378
103	61930	5892906
104	62537	5893400
105	63044	5884506
106	63625	5882658
107	64185	5878915
108	64805	5880646
109	65470	5886388
110	65965	5876829
111	66642	5883550
112	67223	5881788
113	67805	5880053
114	68436	5882590
115	68888	5869811
116	69542	5874284
117	70042	5865776
118	70595	5861836
119	71069	5851395
120	71684	5852665
121	72267	5851311
122	72814	5847053
123	73415	5847152
124	73867	5835501
125	74561	5842987
126	75092	5837685
127	75721	5840012
128	76349	5842193
129	76880	5837041
130	77490	5837806
131	78099	5838544
132	78689	5837797
133	79231	5833601
134	79776	5829595
135	80476	5836882
136	80911	5825017
137	81614	5832462
138	82161	5828702
139	82764	5828973
140	83468	5836259
141	83933	5826877
142	84514	5825573
143	85045	5820894
144	85683	5823495
145	86273	5822869
146	86819	5819239
147	87462	5822158
148	88099	5824635
149	88732	5826793
150	89387	5830340
151	89871	5822708
152	90505	5824891
153	91004	5818350
154	91680	5823216
155	92311	5825094
156	92870	5822469
157	93461	5821846
158	93924	5813262
159	94574	5816338
160	95073	5810086
161	95709	5812311
162	96351	5814791
163	96831	5807511
164	97535	5813695
165	98143	5814093
166	98736	5813635
167	99389	5816667
168	99923	5812684
169	100588	5816381
170	101139	5813431
171	101774	5815374
172	102277	5809742
173	102811	5805912
174	103439	5807383
175	103928	5801116
176	104594	5804673
177	105209	5805412
178	105794	5804527
179	106481	5809162
180	106960	5802459
181	107622	5805713
182	108303	5809924
183	108859	5807391
184	109521	5810574
185	110062	5807278
186	110736	5810994
187	111435	5815973
188	111941	5810882
189	112587	5813091
190	113093	5808007
191	113683	5807306
192	114321	5809063
193	114883	5806939
194	115568	5810996
195	116082	5806515
196	116695	5806921
197	117256	5804776
198	117912	5807359
199	118578	5810328
200	119026	5802692
201	119668	5804498
202	120245	5803178
203	120788	5800235
204	121438	5802396
205	122003	5800508
206	122641	5802089
207	123180	5798976
208	123757	5797654
209	124370	5798026
210	124861	5792752
211	125439	5791516
212	125934	5786463
213	126574	5788113
214	127035	5781569
215	127748	5786536
216	128451	5790984
217	128962	5786747
218	129647	5790314
219	130152	5785890
220	130682	5782550
221	131278	5782172
222	131825	5779617
223	132446	5780363
224	132954	5776139
225	133656	5780353
226	134222	5778676
227	134798	5777421
228	135370	5776021
229	135878	5771899
230	136547	5774611
231	137034	5769633
232	137667	5770803
233	138366	5774720
234	138871	5770551
235	139501	5771560
236	140049	5769196
237	140704	5771244
238	141260	5769232
239	141832	5767853
240	142484	5769716
241	143006	5766370
242	143644	5767661
243	144304	5769824
244	144863	5767941
245	145508	5769466
246	145923	5761907
247	146536	5762199
248	146994	5756410
249	147630	5757581
250	148369	5762760
251	149122	5768438
252	149917	5775685
253	150539	5776209
254	151260	5780529
255	152063	5787908
256	152642	5786746
257	153403	5792487
258	153919	5788922
259	154589	5791172
260	155123	5788301
261	155654	5785373
262	156240	5784470
263	156784	5782026
264	157479	5785154
265	158115	5786092
266	158718	5785790
267	159321	5785499
268	159810	5781085
269	160443	5781919
270	160906	5776599
271	161561	5778214
272	162003	5772195
273	162590	5771381
274	163119	5768502
275	163719	5768135
276	164279	5766390
277	164836	5764521
278	165486	5765931
279	166053	5764416
280	166671	5764694
281	167267	5764219
282	167819	5762184
283	168427	5762112
284	168836	5755253
285	169569	5759448
286	170125	5757609
287	170757	5758328
288	171353	5757830
289	171871	5754743
290	172444	5753490
291	172904	5748484
292	173556	5749878
293	174112	5748084
294	174700	5747339
295	175307	5747231
296	175857	5745283
297	176526	5747176
298	177080	5745357
299	177726	5746495
300	178378	5747814
301	178895	5744783
302	179579	5747136
303	180137	5745437
304	180685	5743419
305	181267	5742521
306	181790	5739731
307	182444	5741069
308	182990	5739020
309	183588	5738618
310	184051	5734013
311	184674	5734369
312	185288	5734478
313	185876	5733763
314	186520	5734760
315	187107	5734016
316	187725	5734225
317	188367	5735129
318	188833	5730710
319	189484	5731920
320	189960	5727804
321	190585	5728225
322	191218	5728866
323	191851	5729490
324	192490	5730297
325	192990	5726967
326	193640	5728096
327	194197	5726463
328	194745	5724585
